feature,entropy,kept_after_lowinfo
bilirubin_max,3.321928092414687,True
resp_rate_max,3.321928092381718,True
bun_max,3.321928092381718,True
spo2_min,3.3219166221671967,True
map_min,3.3219163110166403,True
temp_max,3.3219082671259628,True
potassium_max,3.32190740869803,True
lactate_max,3.321902297647788,True
aniongap_max,3.32190211717304,True
hr_min,3.32190211717304,True
sodium_min,3.3219014232580086,True
creatinine_max,3.321900896565449,True
map_max,3.321900701162318,True
platelets_min,3.3218984582144033,True
hr_max,3.321897774540859,True
hemoglobin_min,3.321897667261769,True
albumin_min,3.3218964555055286,True
age,3.316213190615826,False
vent_flag,0.8567452538377982,True
pressors_flag,0.7074102655965206,True
